corpus,category_name,category_count,total
age_12_24_pp,pp,17024,583845
bnc_spoken_pp,pp,11440,634795
simple_wiki_pp,pp,25094,1061302
age_120_192_pp,pp,466,15792
age_36_48_pp,pp,25422,772316
age_60_72_pp,pp,4924,154902
age_96_108_pp,pp,1449,52228
age_108_120_pp,pp,1760,56786
age_72_84_pp,pp,1875,75965
switchboard_pp,pp,918,96809
TD_pp,pp,27542,1733674
age_24_36_pp,pp,66916,2034320
open_subtitles_pp,pp,88946,3372394
age_0_12_pp,pp,5873,170003
age_48_60_pp,pp,19356,618135
age_84_96_pp,pp,2563,89843
age_96_108_simple_categories,simple_categories,15576,52228
open_subtitles_simple_categories,simple_categories,414994,3372394
age_108_120_simple_categories,simple_categories,15252,56786
age_60_72_simple_categories,simple_categories,37862,154902
age_72_84_simple_categories,simple_categories,21470,75965
age_48_60_simple_categories,simple_categories,125696,618135
bnc_spoken_simple_categories,simple_categories,98627,634795
age_12_24_simple_categories,simple_categories,184446,583845
age_24_36_simple_categories,simple_categories,542251,2034320
TD_simple_categories,simple_categories,261600,1733674
simple_wiki_simple_categories,simple_categories,79283,1061302
age_120_192_simple_categories,simple_categories,2754,15792
age_0_12_simple_categories,simple_categories,43855,170003
age_84_96_simple_categories,simple_categories,24974,89843
switchboard_simple_categories,simple_categories,8533,96809
age_36_48_simple_categories,simple_categories,163772,772316
age_0_12_coord,coord,1056,170390
open_subtitles_coord,coord,9009,3372394
bnc_spoken_coord,coord,1943,634795
age_60_72_coord,coord,1494,154902
age_48_60_coord,coord,4522,618135
age_72_84_coord,coord,969,75965
TD_coord,coord,5633,1733674
age_108_120_coord,coord,757,56786
age_36_48_coord,coord,5567,772316
simple_wiki_coord,coord,129,1061302
age_84_96_coord,coord,1093,89843
switchboard_coord,coord,793,96809
age_24_36_coord,coord,11823,2034320
age_12_24_coord,coord,2417,583845
age_96_108_coord,coord,666,52228
age_120_192_coord,coord,186,15792
age_72_84_tense,tense,663,75965
age_48_60_tense,tense,6297,618135
age_36_48_tense,tense,10605,772316
age_108_120_tense,tense,562,56786
TD_tense,tense,9015,1733674
age_0_12_tense,tense,1846,170003
bnc_spoken_tense,tense,4355,634795
open_subtitles_tense,tense,41125,3372394
age_60_72_tense,tense,1531,154902
age_24_36_tense,tense,30060,2034320
switchboard_tense,tense,346,96809
age_84_96_tense,tense,829,89843
age_120_192_tense,tense,108,15792
age_96_108_tense,tense,549,52228
age_12_24_tense,tense,7390,583845
simple_wiki_tense,tense,13943,1061302
age_120_192_prt_to,prt_to,74,15792
age_0_12_prt_to,prt_to,1938,170003
TD_prt_to,prt_to,1806,1733674
bnc_spoken_prt_to,prt_to,2327,634795
age_36_48_prt_to,prt_to,6009,772316
age_108_120_prt_to,prt_to,260,56786
age_24_36_prt_to,prt_to,23246,2034320
age_84_96_prt_to,prt_to,417,89843
age_72_84_prt_to,prt_to,250,75965
age_60_72_prt_to,prt_to,787,154902
age_96_108_prt_to,prt_to,111,52228
open_subtitles_prt_to,prt_to,21858,3372394
switchboard_prt_to,prt_to,41,96809
age_48_60_prt_to,prt_to,4292,618135
simple_wiki_prt_to,prt_to,43,1061302
age_12_24_prt_to,prt_to,7081,583845
age_72_84_pos_adv_categories,pos_adv_categories,2318,75965
age_36_48_pos_adv_categories,pos_adv_categories,32953,772316
age_0_12_pos_adv_categories,pos_adv_categories,10021,170003
age_120_192_pos_adv_categories,pos_adv_categories,593,15792
age_24_36_pos_adv_categories,pos_adv_categories,103666,2034320
TD_pos_adv_categories,pos_adv_categories,54107,1733674
age_60_72_pos_adv_categories,pos_adv_categories,5414,154902
age_96_108_pos_adv_categories,pos_adv_categories,1550,52228
open_subtitles_pos_adv_categories,pos_adv_categories,86394,3372394
age_48_60_pos_adv_categories,pos_adv_categories,21329,618135
age_108_120_pos_adv_categories,pos_adv_categories,1957,56786
age_84_96_pos_adv_categories,pos_adv_categories,2974,89843
switchboard_pos_adv_categories,pos_adv_categories,2712,96809
simple_wiki_pos_adv_categories,pos_adv_categories,4079,1061302
age_12_24_pos_adv_categories,pos_adv_categories,32985,583845
bnc_spoken_pos_adv_categories,pos_adv_categories,14078,634795
age_120_192_frag,frag,851,15792
age_60_72_frag,frag,10010,154902
open_subtitles_frag,frag,158305,3372394
age_72_84_frag,frag,4498,75965
age_24_36_frag,frag,201884,2034320
age_84_96_frag,frag,5428,89843
age_0_12_frag,frag,11031,170390
simple_wiki_frag,frag,621,1061302
age_12_24_frag,frag,42356,583845
switchboard_frag,frag,16159,96809
age_36_48_frag,frag,65717,772316
bnc_spoken_frag,frag,87637,634795
age_48_60_frag,frag,45012,618135
age_96_108_frag,frag,2639,52228
age_108_120_frag,frag,2905,56786
TD_frag,frag,68175,1733674
age_36_48_aux,aux,12323,772316
age_96_108_aux,aux,358,52228
age_108_120_aux,aux,645,56786
age_24_36_aux,aux,24263,2034320
open_subtitles_aux,aux,45329,3372394
age_60_72_aux,aux,1837,154902
switchboard_aux,aux,386,96809
age_120_192_aux,aux,175,15792
TD_aux,aux,30846,1733674
age_84_96_aux,aux,825,89843
age_72_84_aux,aux,792,75965
simple_wiki_aux,aux,1126,1061302
age_0_12_aux,aux,1690,170003
age_48_60_aux,aux,8598,618135
bnc_spoken_aux,aux,4241,634795
age_12_24_aux,aux,6405,583845
open_subtitles,aux,45329,3372394
age_48_60_complexq,complexq,33266,618135
age_108_120_complexq,complexq,1703,56786
switchboard_complexq,complexq,715,96809
bnc_spoken_complexq,complexq,11471,634795
TD_complexq,complexq,32000,1733674
age_12_24_complexq,complexq,46923,583845
open_subtitles_complexq,complexq,86832,3372394
age_60_72_complexq,complexq,8126,154902
age_0_12_complexq,complexq,10532,170003
age_96_108_complexq,complexq,1904,52228
age_72_84_complexq,complexq,3569,75965
age_120_192_complexq,complexq,451,15792
age_84_96_complexq,complexq,3492,89843
age_36_48_complexq,complexq,45341,772316
age_24_36_complexq,complexq,133323,2034320
simple_wiki_complexq,complexq,148,1061302
open_subtitles_negation_simple,negation_simple,88862,3372394
age_60_72_negation_simple,negation_simple,4234,154902
simple_wiki_negation_simple,negation_simple,1249,1061302
age_12_24_negation_simple,negation_simple,10772,583845
age_36_48_negation_simple,negation_simple,25848,772316
TD_negation_simple,negation_simple,17661,1733674
age_0_12_negation_simple,negation_simple,3593,170003
age_96_108_negation_simple,negation_simple,719,52228
age_120_192_negation_simple,negation_simple,424,15792
age_24_36_negation_simple,negation_simple,59205,2034320
bnc_spoken_negation_simple,negation_simple,11708,634795
age_108_120_negation_simple,negation_simple,1107,56786
age_48_60_negation_simple,negation_simple,18487,618135
age_72_84_negation_simple,negation_simple,1340,75965
switchboard_negation_simple,negation_simple,1195,96809
age_84_96_negation_simple,negation_simple,1634,89843
age_48_60_embedded,embedded,2388,618135
age_108_120_embedded,embedded,205,56786
switchboard_embedded,embedded,27,96809
open_subtitles_embedded,embedded,10951,3372394
TD_embedded,embedded,7713,1733674
age_12_24_embedded,embedded,3039,583845
bnc_spoken_embedded,embedded,409,634795
age_72_84_embedded,embedded,154,75965
age_96_108_embedded,embedded,67,52228
age_60_72_embedded,embedded,585,154902
age_0_12_embedded,embedded,1182,170390
simple_wiki_embedded,embedded,3,1061302
age_36_48_embedded,embedded,3492,772316
age_24_36_embedded,embedded,8291,2034320
open_subtitles,embedded,12801,20655118
age_84_96_embedded,embedded,190,89843
age_120_192_embedded,embedded,42,15792
age_60_72_to,to,654,154902
age_36_48_to,to,4100,772316
age_96_108_to,to,104,52228
simple_wiki_to,to,636,1061302
age_12_24_to,to,2675,583845
bnc_spoken_to,to,912,634795
age_120_192_to,to,65,15792
TD_to,to,5351,1733674
age_24_36_to,to,9450,2034320
open_subtitles_to,to,12801,3372394
age_0_12_to,to,841,170003
age_48_60_to,to,2468,618135
age_84_96_to,to,271,89843
age_72_84_to,to,203,75965
age_108_120_to,to,204,56786
switchboard_to,to,93,96809
age_96_108_questions,questions,1359,52228
age_60_72_questions,questions,6423,154902
age_72_84_questions,questions,2664,75965
age_12_24_questions,questions,29270,583845
age_48_60_questions,questions,26854,618135
TD_questions,questions,47420,1733674
age_24_36_questions,questions,110606,2034320
age_108_120_questions,questions,1489,56786
age_84_96_questions,questions,2839,89843
switchboard_questions,questions,1026,96809
open_subtitles_questions,questions,65810,3372394
age_36_48_questions,questions,42719,772316
bnc_spoken_questions,questions,16747,634795
age_0_12_questions,questions,10031,170390
age_120_192_questions,questions,536,15792
simple_wiki_questions,questions,50,1061302
